,user_id,combined_features
3966,52749,52749 250 paid_ins_organicebbonus5 app_android Android App04.0
4005,49888,49888 214 paid_ins_organicshinhan6000 app_android Android App04.0
4014,156198,156198 269 paid_rtg_criteonew_intsign up app_android Android App04.0
4038,188214,188214 124 paid_ins_organicpartnership app_android Android App04.0
4039,104043,104043 0 paid_ins_organicpartnership app_android Android App14.0
4050,29352,29352 270 paid_ins_organicsign up app_ios iOS App04.0
4053,136563,136563 220 paid_ins_organicebbonus5 app_android Android App04.0
4058,180492,180492 31 paid_ins_restrictedsign up app_android Android App04.0
4105,191243,191243 237 paid_ins_organicebbonus5 app_android Android App04.0
4127,176637,176637 19 Directfriend app_ios iOS App04.0
4138,69157,69157 311 paid_ins_organicebbonus5 app_android Android App04.0
4159,175824,175824 304 paid_ins_organicebbonus5 app_ios iOS App04.0
4206,37287,37287 340 paid_ins_organicebbonus5 app_ios iOS App04.0
4234,166094,166094 260 paid_ins_organicebbonus5 app_android Android App04.0
4252,186884,186884 334 Directebbonus5 app_android Android App04.0
4269,224161,224161 321 paid_ins_organicebbonus5 app_android Android App04.0
4286,32365,32365 132 paid_ins_organicpartnership app_ios iOS App04.0
4290,247841,247841 336 paid_ins_organicebbonus5 app_android Android App04.0
4296,244231,244231 40 paid_ins_organicfriend app_android Android App04.0
4327,28468,28468 132 paid_ins_organicsign up app_ios iOS App04.0
4357,185966,185966 192 paid_ins_organicfriend app_android Android App04.0
4405,153709,153709 334 paid_ins_organicebbonus5 app_android Android App04.0
4452,214675,214675 0 paid_ins_Facebook Adssign up app_ios iOS App14.0
4454,139416,139416 194 paid_ins_organicvisa app_ios iOS App04.0
4470,82998,82998 0 paid_ins_naversign up app_android Android App14.0
4507,205328,205328 295 paid_ins_organicvipbonus app_android Android App04.0
4578,67961,67961 69 paid_ins_organicfriend app_android Android App04.0
4600,31537,31537 262 paid_ins_organicsign up app_android Android App04.0
4628,51009,51009 0 paid_ins_organicsign up app_android Android App14.0
4632,242613,242613 300 paid_ins_organicsign up app_ios iOS App04.0
4659,154206,154206 0 paid_ins_organicsign up app_ios iOS App14.0
4675,110373,110373 1 paid_ins_organicsign up app_ios iOS App04.0
4699,156708,156708 56 paid_ins_organicsign up app_android Android App04.0
4720,220286,220286 321 paid_ins_organicebbonus5 app_ios iOS App04.0
4753,179245,179245 145 paid_ins_naversign up app_android Android App04.0
4759,146038,146038 318 paid_ins_organicebbonus5 app_ios iOS App04.0
4780,17674,17674 50 paid_ins_organicsign up app_ios iOS App04.0
4803,217161,217161 313 paid_ins_organicebbonus5 app_android Android App04.0
4828,126025,126025 293 Directebbonus5 app_android Android App04.0
4829,22164,22164 290 Directebbonus5 app_ios iOS App04.0
4874,141695,141695 264 paid_ins_organicsign up app_android Android App04.0
4976,125158,125158 0 paid_ins_organicsign up app_android Android App14.0
5034,127477,127477 307 Directebbonus5 app_android Android App04.0
5035,166189,166189 36 paid_ins_organicfriend app_ios iOS App04.0
5048,720,720 0 Directfriend app_android Android App14.0
5061,139546,139546 185 paid_ins_organicsign up app_android Android App04.0
5062,26365,26365 185 paid_ins_organicsign up app_ios iOS App04.0
5071,216956,216956 153 paid_ins_organicsign up app_android Android App04.0
5089,221232,221232 0 Directsign up app_android Android App14.0
5135,14708,14708 111 paid_ins_organicfriend app_android Android App04.0
5137,212257,212257 314 paid_ins_organicebbonus5 app_ios iOS App04.0
5209,99445,99445 14 paid_ins_organicpartnership app_android Android App04.0
5267,56767,56767 1 paid_ins_organicsign up app_ios iOS App04.0
5351,174732,174732 33 paid_rtg_criteonew_intsign up app_android Android App04.0
5361,38267,38267 312 paid_ins_organicfriend app_android Android App04.0
5437,1410,1410 301 paid_ins_organicebbonus5 app_android Android App04.0
5447,27708,27708 244 paid_ins_organicebbonus5 app_android Android App04.0
5490,170988,170988 157 paid_ins_organicpartnership app_ios iOS App04.0
5497,101100,101100 0 paid_ins_organicfriend app_android Android App14.0
5498,194706,194706 289 paid_ins_organicsign up app_android Android App04.0
5522,188478,188478 82 paid_ins_organicpartnership app_android Android App04.0
5536,115066,115066 117 paid_ins_organicsign up app_android Android App04.0
5578,150745,150745 319 paid_ins_crmebbonus5 app_android Android App04.0
5590,73912,73912 70 paid_ins_organicpartnership app_android Android App04.0
5594,223971,223971 117 Directfriend app_android Android App04.0
5621,86644,86644 320 paid_ins_organicebbonus5 app_android Android App04.0
5651,137997,137997 274 paid_ins_organicsign up app_android Android App04.0
5675,245188,245188 300 paid_ins_organicebbonus5 app_ios iOS App04.0
5682,82342,82342 213 paid_ins_crmvisa5000 app_android Android App04.0
5690,140447,140447 255 paid_ins_organicsign up app_ios iOS App04.0
5693,178677,178677 3 paid_ins_organicfriend app_ios iOS App04.0
5731,189564,189564 253 paid_ins_organicfriend app_android Android App04.0
5752,1081,1081 93 Directpartnership app_android Android App04.0
5772,198497,198497 315 paid_ins_organicebbonus5 app_android Android App04.0
5821,211025,211025 234 paid_ins_organicfriend app_ios iOS App04.0
5847,144341,144341 129 paid_ins_Facebook Adssign up app_android Android App04.0
5853,219268,219268 30 Directsign up app_android Android App04.0
5869,111310,111310 308 paid_ins_organicebbonus5 app_android Android App04.0
5880,117478,117478 315 paid_ins_organicebbonus5 app_android Android App04.0
5898,95626,95626 6 Directfriend app_android Android App04.0
5901,89207,89207 0 paid_ins_googleadwords_intsign up app_android Android App14.0
5911,110899,110899 224 paid_ins_organicsign up app_ios iOS App04.0
5913,217453,217453 207 paid_ins_organicsign up app_android Android App04.0
5977,151739,151739 0 paid_ins_organicpartnership app_ios iOS App14.0
5986,71429,71429 314 paid_ins_organicebbonus5 app_android Android App04.0
6018,179356,179356 323 paid_ins_organicebbonus5 app_android Android App04.0
6088,20841,20841 195 paid_ins_af_bannersign up app_ios iOS App04.0
6089,179461,179461 224 paid_ins_organicsign up app_ios iOS App04.0
6104,26692,26692 0 paid_ins_Facebook Adssign up app_ios iOS App14.0
6132,107492,107492 153 paid_ins_restrictedsign up app_android Android App04.0
6140,190228,190228 173 paid_ins_organicfriend app_ios iOS App04.0
6141,101694,101694 85 paid_ins_organicfriend app_android Android App04.0
6142,236370,236370 318 paid_ins_organicebbonus5 app_android Android App04.0
6150,24522,24522 318 paid_ins_organicebbonus5 app_android Android App04.0
6154,163264,163264 283 paid_ins_Facebook Adssign up app_android Android App04.0
6156,236416,236416 286 paid_ins_organicsign up app_ios iOS App04.0
6212,110411,110411 130 paid_ins_organicsign up app_android Android App04.0
6251,213029,213029 89 paid_ins_organicfriend app_android Android App04.0
6278,16984,16984 321 paid_ins_organicebbonus5 app_ios iOS App04.0
6284,225959,225959 0 paid_ins_restrictedsign up app_ios iOS App14.0
6309,159715,159715 245 paid_ins_organicfriend app_ios iOS App04.0
6317,193109,193109 0 paid_ins_organicfriend app_android Android App14.0
6359,149296,149296 187 paid_ins_organicpartnership app_ios iOS App04.0
6369,244660,244660 279 paid_rtg_googleadwords_intebbonus5 app_android Android App04.0
6391,207656,207656 13 paid_ins_organicsign up app_ios iOS App04.0
6428,207183,207183 282 paid_ins_organicvip15000 app_android Android App04.0
6454,187737,187737 0 paid_ins_organicsign up app_android Android App14.0
6457,76684,76684 97 Directpartnership app_android Android App04.0
6461,40293,40293 335 paid_ins_organicebbonus5 app_android Android App04.0
6500,168901,168901 0 paid_ins_organicpartnership app_ios iOS App14.0
6532,180325,180325 197 paid_ins_organicsign up app_android Android App04.0
6547,139342,139342 335 paid_ins_organicebbonus5 app_android Android App04.0
6574,193662,193662 304 paid_ins_organicebbonus5 app_ios iOS App04.0
6586,24901,24901 83 paid_ins_organicfriend app_android Android App04.0
6635,54757,54757 19 paid_ins_organicpartnership app_android Android App04.0
6638,218816,218816 288 paid_ins_organicebbonus5 app_android Android App04.0
6692,141473,141473 0 paid_ins_Facebook Adssign up app_android Android App14.0
6695,39390,39390 16 paid_ins_af_bannerfriend app_android Android App04.0
6701,64244,64244 334 paid_ins_organicebbonus5 app_ios iOS App04.0
6738,41305,41305 189 paid_ins_naversign up app_android Android App04.0
6741,214736,214736 183 paid_ins_organicsign up app_ios iOS App04.0
6775,213912,213912 78 paid_ins_Apple Search Adsfriend app_ios iOS App04.0
6794,245190,245190 331 paid_ins_organicebbonus5 app_ios iOS App04.0
6818,81034,81034 186 paid_ins_organicsign up app_android Android App04.0
6822,164439,164439 246 paid_ins_organicebbonus5 app_android Android App04.0
6824,13929,13929 308 paid_ins_organicebbonus5 app_ios iOS App04.0
6848,179825,179825 318 paid_ins_organicfriend app_ios iOS App04.0
6856,88454,88454 168 paid_ins_organicsign up app_ios iOS App04.0
6861,140787,140787 321 Directfriend app_ios iOS App04.0
6939,236310,236310 194 paid_ins_organicsign up app_android Android App04.0
6951,102324,102324 308 paid_ins_organicebbonus5 app_ios iOS App04.0
6961,176009,176009 307 paid_ins_organicebbonus5 app_android Android App04.0
6971,9724,9724 335 paid_ins_organicsign up app_ios iOS App04.0
6987,122887,122887 285 paid_ins_organicsign up app_android Android App04.0
7009,159107,159107 1 paid_ins_organicpartnership app_ios iOS App04.0
7025,126301,126301 0 paid_ins_restrictedsign up app_android Android App14.0
7041,163349,163349 287 paid_ins_organicsign up app_android Android App04.0
7047,242617,242617 10 paid_ins_organicpartnership app_ios iOS App04.0
7057,137216,137216 0 paid_ins_organicpartnership app_android Android App14.0
7070,21417,21417 158 paid_ins_organicpartnership app_ios iOS App04.0
7077,52899,52899 157 paid_ins_organicfriend app_ios iOS App04.0
7156,200314,200314 211 paid_ins_organicsamsung10000 app_ios iOS App04.0
7170,185896,185896 309 paid_ins_organicebbonus5 app_ios iOS App04.0
7202,131823,131823 316 paid_ins_organicebbonus5 app_android Android App04.0
7206,143812,143812 0 paid_ins_organicsign up app_android Android App14.0
7207,31789,31789 143 paid_ins_organicfriend app_ios iOS App04.0
7210,115276,115276 201 paid_ins_organicsign up app_android Android App04.0
7235,162984,162984 0 paid_ins_organicpartnership app_ios iOS App14.0
7238,227960,227960 139 paid_ins_organicpartnership app_ios iOS App04.0
7264,115435,115435 315 Directebbonus5 app_android Android App04.0
7278,156629,156629 0 Directpartnership app_android Android App14.0
7325,188188,188188 6 paid_ins_organicsign up app_ios iOS App04.0
7348,156167,156167 0 paid_ins_af_bannersign up app_android Android App14.0
7353,33886,33886 256 paid_ins_organicebbonus5 app_ios iOS App04.0
7363,169355,169355 307 paid_ins_organicfriend app_ios iOS App04.0
7369,208475,208475 264 Directfriend app_android Android App04.0
7373,36764,36764 153 paid_ins_organicpartnership app_ios iOS App04.0
7397,100271,100271 202 paid_ins_organicvisa5000 app_android Android App04.0
7427,135132,135132 330 paid_ins_KR_CRMebbonus5 app_android Android App04.0
7462,31873,31873 0 Directfriend app_android Android App14.0
7471,154769,154769 86 paid_ins_organicsign up app_android Android App04.0
7483,45649,45649 7 paid_ins_organicfriend app_ios iOS App04.0
7531,43661,43661 292 paid_ins_organicebbonus5 app_android Android App04.0
7562,30692,30692 0 paid_ins_organicpartnership app_ios iOS App14.0
7584,4790,4790 319 paid_ins_organicebbonus5 app_android Android App04.0
7618,80149,80149 335 paid_ins_organicebbonus5 app_android Android App04.0
7646,187080,187080 3 paid_ins_organicsign up app_ios iOS App04.0
7662,129856,129856 127 paid_ins_organicpartnership app_android Android App04.0
7663,239203,239203 33 paid_rtg_criteonew_intsign up app_android Android App04.0
7666,111599,111599 215 paid_ins_organicsamsung10000 app_android Android App04.0
7687,138283,138283 0 Directfriend app_ios iOS App14.0
7697,203797,203797 0 paid_ins_Facebook Adssign up app_android Android App14.0
7827,41354,41354 277 paid_ins_organicvisa app_ios iOS App04.0
7859,163249,163249 0 paid_ins_organicpartnership app_android Android App14.0
7878,81887,81887 60 paid_ins_organicfriend app_android Android App04.0
7907,16365,16365 0 paid_ins_organicpartnership app_ios iOS App14.0
7916,87642,87642 170 paid_ins_ebatespartnership app_ios iOS App04.0
7925,81922,81922 103 Directpartnership app_ios iOS App04.0
7956,242211,242211 231 paid_ins_organictheedit-app app_ios iOS App04.0
7992,179415,179415 335 paid_ins_organicebbonus5 app_android Android App04.0
8011,27417,27417 229 paid_ins_organicebbonus5 app_ios iOS App04.0
8035,22864,22864 304 paid_ins_organicebbonus5 app_android Android App04.0
8133,223740,223740 247 paid_ins_organicebbonus5 app_android Android App04.0
8156,37797,37797 9 paid_ins_organicsign up app_ios iOS App04.0
8161,99338,99338 0 paid_ins_organicsign up app_android Android App14.0
8167,236059,236059 91 paid_ins_organicpartnership app_android Android App04.0
8184,214492,214492 292 paid_ins_organicsign up app_ios iOS App04.0
8196,139493,139493 69 paid_ins_Facebook Adssign up app_android Android App04.0
8232,195643,195643 202 paid_ins_Facebook Adssign up app_android Android App04.0
8244,48689,48689 0 Directsign up app_ios iOS App14.0
8247,122843,122843 0 paid_ins_organicpartnership app_ios iOS App14.0
8248,240317,240317 79 paid_ins_organicfriend app_android Android App04.0
8293,28150,28150 326 paid_ins_organicebbonus5 app_android Android App04.0
8299,3867,3867 0 paid_ins_af_bannerfriend app_android Android App14.0
8304,109818,109818 0 paid_ins_organicfriend app_android Android App14.0
8323,185110,185110 248 paid_ins_organicvisa5000 app_ios iOS App04.0
8324,91286,91286 264 Directebbonus5 app_android Android App04.0
8367,14750,14750 339 paid_ins_organicebbonus5 app_ios iOS App04.0
8427,67696,67696 318 paid_ins_Apple Search Adsebbonus5 app_ios iOS App04.0
8459,201887,201887 138 paid_ins_organicpartnership app_android Android App04.0
8466,10916,10916 320 Directebbonus5 app_android Android App04.0
8491,95881,95881 52 paid_ins_Facebook Adssign up app_ios iOS App04.0
8499,218777,218777 316 paid_ins_organicebbonus5 app_android Android App04.0
8530,179435,179435 112 paid_ins_organicsign up app_ios iOS App04.0
8566,197526,197526 0 paid_ins_Facebook Adssign up app_ios iOS App14.0
8598,110622,110622 330 paid_ins_organicebbonus5 app_android Android App04.0
8599,91384,91384 82 paid_ins_organicsign up app_ios iOS App04.0
8601,51060,51060 333 paid_ins_organicebbonus5 app_android Android App04.0
8680,216407,216407 264 paid_ins_organicebbonus5 app_android Android App04.0
8716,165021,165021 196 paid_ins_organicsign up app_ios iOS App04.0
8729,158208,158208 1 paid_ins_organicsign up app_ios iOS App04.0
8730,10225,10225 34 paid_ins_organicsign up app_android Android App04.0
8734,114583,114583 316 paid_ins_organicsign up app_android Android App04.0
8739,54790,54790 325 paid_ins_organicebbonus5 app_android Android App04.0
8750,161890,161890 13 paid_ins_organicfriend app_ios iOS App04.0
8754,165427,165427 0 paid_ins_Facebook Adsfriend app_ios iOS App14.0
8777,216613,216613 0 paid_ins_organicfriend app_ios iOS App14.0
8820,213552,213552 1 paid_ins_organicpartnership app_android Android App04.0
8832,62969,62969 9 paid_ins_organicfriend app_ios iOS App04.0
8835,96873,96873 0 paid_ins_organicsign up app_ios iOS App14.0
8836,15698,15698 294 paid_ins_organicvip15000 app_ios iOS App04.0
